time,cpu_frequency,cpu_usage,sda_usage
20241108071323,1000,0.9621,0.0
20241108071437,1000,0.9949,0.0
20241108071836,1000,0.9975,0.0
20241108071950,1000,0.9873,0.028
20241108072349,1000,0.9874,0.0
20241108072503,1000,0.9924,0.0
20241108072902,1000,0.9949,0.0
20241108073016,1000,0.985,0.0
20241108073413,1000,0.8725,0.068
20241108073527,1000,0.9924,0.0
20241108073932,1000,0.8589,0.068
20241108074046,1000,0.9975,0.0
20241108074447,1000,0.8972,0.06
20241108074602,1000,0.9924,0.0
20241108074957,1000,0.9874,0.004
20241108075112,1000,0.9899,0.0
20241108075515,1000,0.9924,0.008
20241108075629,1000,0.9874,0.0
20241108080026,1000,0.9899,0.0
20241108080141,1000,0.9849,0.0
20241108080540,1000,0.9273,0.048
20241108080655,1000,0.9975,0.0
20241108081051,1000,0.8697,0.088
20241108081205,1000,0.9924,0.0
20241108081605,1000,0.7871,0.052
20241108081719,1000,0.9825,0.004
20241108082122,1000,0.8657,0.04
20241108082237,1000,0.985,0.0
20241108082636,1000,0.8084,0.06
20241108082750,1000,0.9874,0.0
20241108083148,1000,0.9898,0.028
20241108083302,1000,0.9824,0.036
20241108083703,1000,0.9899,0.0
20241108083818,1000,0.9849,0.0
20241108084212,1000,0.9899,0.0
20241108084326,1000,0.9722,0.084
20241108084729,1000,0.9875,0.0
20241108084844,1000,0.9825,0.008
20241108085250,1000,0.9873,0.0
20241108085405,1000,0.9924,0.0
20241108085759,1000,0.9356,0.0
20241108085914,1000,0.9825,0.0
20241108090309,1000,0.9574,0.0
20241108090424,1000,0.985,0.004
20241108090819,1000,0.9924,0.008
20241108090933,1000,0.985,0.0
20241108091325,1000,0.9472,0.004
20241108091445,1100,0.9949,0.004
20241108091832,1100,0.9874,0.004
20241108091947,1100,0.9899,0.0
20241108092342,1100,0.9347,0.02
20241108092456,1100,0.9874,0.0
20241108092842,1100,0.9426,0.0
20241108092957,1100,0.9899,0.0
20241108093349,1100,0.9799,0.032
20241108093503,1100,0.9849,0.032
20241108093853,1100,0.9899,0.0
20241108094008,1100,0.9825,0.0
20241108094350,1100,0.985,0.0
20241108094505,1100,0.9924,0.0
20241108094849,1100,0.9949,0.0
20241108095003,1100,0.9924,0.0
20241108095351,1100,0.8511,0.0
20241108095505,1100,0.9899,0.0
20241108095849,1100,0.8928,0.0
20241108100003,1100,0.9899,0.0
20241108100346,1100,0.9849,0.0
20241108100501,1100,0.9799,0.004
20241108100843,1100,0.9924,0.0
20241108100957,1100,0.9874,0.0
20241108101350,1100,0.9104,0.0
20241108101504,1100,0.985,0.0
20241108101847,1100,0.9223,0.0
20241108102001,1100,0.9875,0.0
20241108102347,1100,0.8235,0.0
20241108102501,1100,0.9899,0.0
20241108102850,1100,0.9077,0.044
20241108103005,1100,0.9874,0.0
20241108103350,1100,0.8797,0.0
20241108103504,1100,0.9949,0.008
20241108103852,1100,0.8264,0.0
20241108104006,1100,0.9874,0.0
20241108104349,1100,0.8685,0.0
20241108104503,1100,0.9849,0.0
20241108104851,1100,0.9899,0.0
20241108105006,1100,0.985,0.0
