time,cpu_frequency,cpu_usage,sda_usage
20241108200257,1300,0.7224,0.012
20241108200628,1300,0.8803,0.02
20241108200743,1300,0.5198,0.008
20241108201105,1300,0.9175,0.016
20241108201220,1300,0.5947,0.008
20241108201550,1300,0.9424,0.104
20241108201704,1300,0.9799,0.0
20241108202033,1300,0.9496,0.008
20241108202147,1300,0.9148,0.0
20241108202505,1300,0.9108,0.02
20241108202619,1300,0.9722,0.004
20241108202947,1300,0.9699,0.004
20241108203101,1300,0.9369,0.008
20241108203430,1300,0.9521,0.012
20241108203544,1300,0.9673,0.0
20241108203909,1300,0.9547,0.016
20241108204023,1300,0.9494,0.0
20241108204347,1300,0.9723,0.004
20241108204501,1300,0.9675,0.0
20241108204822,1300,0.9622,0.004
20241108204936,1300,0.9674,0.0
20241108205308,1300,0.8897,0.012
20241108205422,1300,0.9373,0.004
20241108205748,1300,0.8872,0.024
20241108205901,1300,0.965,0.0
20241108210232,1300,0.9171,0.012
20241108210346,1300,0.9425,0.0
20241108210709,1300,0.8797,0.02
20241108210823,1300,0.866,0.012
20241108211143,1300,0.7916,0.04
20241108211256,1300,0.9774,0.0
20241108211620,1300,0.8593,0.012
20241108211734,1300,0.8897,0.004
20241108212058,1300,0.9443,0.02
20241108212212,1300,0.9401,0.0
20241108212534,1300,0.8296,0.012
20241108212647,1300,0.9898,0.0
20241108213014,1300,0.9223,0.024
20241108213128,1300,0.9194,0.004
20241108213504,1300,0.9121,0.02
20241108213618,1300,0.94,0.004
20241108213945,1300,0.7556,0.012
20241108214058,1300,0.9673,0.0
20241108214428,1300,0.92,0.016
20241108214542,1300,0.8375,0.012
20241108214907,1300,0.9242,0.016
20241108215021,1300,0.915,0.0
20241108215348,1300,0.8246,0.024
20241108215502,1300,0.8875,0.004
20241108215826,1300,0.9023,0.012
20241108215940,1300,0.8995,0.016
20241108220310,1300,0.7425,0.012
20241108220423,1300,0.9422,0.0
20241108220749,1300,0.9619,0.012
20241108220903,1300,0.9118,0.004
20241108221233,1300,0.8465,0.012
20241108221347,1300,0.8775,0.008
20241108221707,1300,0.8985,0.012
20241108221821,1300,0.8555,0.008
20241108222145,1300,0.727,0.024
20241108222258,1300,0.7667,0.012
20241108222619,1300,0.9125,0.016
20241108222733,1300,0.8856,0.004
20241108223106,1300,0.8825,0.016
20241108223220,1300,0.8834,0.004
20241108223547,1300,0.875,0.008
20241108223701,1300,0.8963,0.004
20241108224025,1300,0.9104,0.012
20241108224139,1300,0.7721,0.008
20241108224515,1300,0.7631,0.024
20241108224629,1300,0.9025,0.004
20241108224949,1300,0.9318,0.012
20241108225103,1300,0.9295,0.012
20241108225426,1300,0.8111,0.02
20241108225540,1300,0.8208,0.008
20241108225906,1300,0.7395,0.008
20241108230020,1300,0.9495,0.0
20241108230344,1300,0.9798,0.004
20241108230458,1300,0.9823,0.004
20241108230830,1300,0.9822,0.004
20241108230944,1300,0.9446,0.0
20241108231318,1300,0.9544,0.012
20241108231431,1300,0.9873,0.0
20241108231753,1300,0.9544,0.012
20241108231907,1300,0.9444,0.0
20241108232233,1300,0.9478,0.016
20241108232347,1300,0.9749,0.004
20241108232709,1300,0.955,0.012
20241108232823,1300,0.9873,0.0
20241108233153,1300,0.9557,0.008
20241108233307,1300,0.9725,0.0
20241108233632,1300,0.9573,0.004
20241108233746,1300,0.9373,0.004
20241108234116,1300,0.9545,0.016
20241108234230,1300,0.9647,0.0
20241108234552,1300,0.9552,0.004
20241108234706,1300,0.9723,0.008
20241108235028,1300,0.9198,0.012
20241108235142,1300,0.9547,0.0
20241108235516,1300,0.8543,0.016
20241108235629,1300,0.9873,0.0
20241108235952,1300,0.7809,0.012
20241109000106,1300,0.801,0.008
20241109000433,1300,0.9175,0.02
20241109000547,1300,0.9129,0.008
20241109000913,1300,0.9426,0.016
20241109001028,1300,0.9066,0.012
20241109001351,1300,0.9128,0.012
20241109001505,1300,0.9142,0.0
20241109001825,1300,0.9548,0.012
20241109001939,1300,0.9523,0.0
20241109002306,1300,0.8622,0.012
20241109002420,1300,0.818,0.012
20241109002744,1300,0.7307,0.02
20241109002857,1300,0.9521,0.0
20241109003224,1300,0.74,0.016
20241109003338,1300,0.799,0.02
20241109003701,1300,0.7537,0.012
20241109003815,1300,0.7753,0.016
20241109004139,1300,0.824,0.02
20241109004253,1300,0.798,0.02
20241109004619,1300,0.9418,0.024
