param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,cpu_frequency,run_time,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24,run_25,run_26,run_27,run_28,run_29,run_30,run_31,run_32,run_33,run_34,run_35,run_36,run_37,run_38,run_39,run_40,run_41,run_42,run_43,run_44,run_45,run_46,run_47,run_48,run_49,run_50,run_51,run_52,run_53,run_54,run_55,run_56,run_57,run_58,run_59,run_60,run_61,run_62,run_63,run_64,run_65,run_66,run_67,run_68,run_69,run_70,run_71,run_72,run_73,run_74,run_75,run_76,run_77,run_78,run_79,run_80,run_81,run_82,run_83,run_84,run_85,run_86,run_87,run_88,run_89,run_90
30,0.5,280,0.44,0.9,940,TRUE,FALSE,800,248,51,4,3,6,9,5,2,5,3,91,5,2,0,3,0,0,1,0,0,0,3,1,0,0,0,1,1,3,0,5,8,1,0,1,0,0,0,0,1,12,5,1,0,1,0,1,0,1,0,3,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
90,0.6,100,0.35,0.5,860,TRUE,TRUE,800,250,46,3,3,9,8,3,2,2,3,101,2,0,0,0,0,0,0,1,0,1,6,0,0,0,0,2,1,0,2,10,8,0,0,2,2,1,1,0,0,11,3,0,1,1,2,0,0,0,0,2,1,0,1,0,0,0,1,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
20,0.7,100,0.31,0.8,610,FALSE,FALSE,800,246,51,3,4,10,9,3,2,4,7,87,2,1,1,0,1,0,0,0,0,1,7,0,0,1,2,1,0,0,0,9,2,1,1,0,1,4,0,1,0,9,3,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2
20,0.8,180,0.98,0.3,1000,FALSE,FALSE,800,247,49,5,2,8,4,3,2,4,4,95,9,1,0,0,1,0,1,1,0,2,4,0,1,1,0,0,0,0,1,8,7,1,0,0,0,0,0,0,0,4,3,0,0,0,1,1,2,0,0,1,6,0,0,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
70,0.7,140,0.95,0.9,920,TRUE,FALSE,800,248,49,4,5,5,11,2,3,4,12,83,9,0,1,0,0,0,0,0,0,1,6,1,1,1,0,1,1,2,0,16,3,4,0,1,0,1,0,0,0,2,5,0,0,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
90,0.9,270,0.44,0.5,810,TRUE,FALSE,800,254,51,1,3,10,8,4,4,3,6,84,12,1,1,0,1,0,0,1,3,0,7,0,0,0,1,2,0,0,2,8,9,1,0,1,1,0,0,1,1,8,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2
80,0.9,300,0.53,0.5,170,FALSE,FALSE,800,257,49,3,2,4,8,4,3,3,7,99,7,0,0,0,3,1,0,0,0,0,3,0,1,2,1,1,1,0,0,9,9,0,1,1,0,0,0,0,0,11,5,0,2,0,0,0,1,2,0,2,1,1,0,1,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
60,0.5,280,0.65,0.8,380,TRUE,FALSE,800,245,47,6,8,12,10,4,2,4,3,78,4,3,3,0,0,1,0,0,0,2,2,0,0,0,1,0,0,0,0,6,7,0,3,0,2,2,1,2,1,11,3,0,0,0,1,1,1,0,1,1,3,0,0,1,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,0.8,220,0.59,0.8,930,FALSE,FALSE,800,247,41,4,6,15,14,3,3,8,9,81,4,1,0,1,2,0,0,1,0,0,5,1,1,0,0,0,0,0,0,3,9,2,0,3,1,1,1,1,0,14,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
100,0.5,270,0.62,0.5,390,TRUE,TRUE,800,261,51,4,6,13,17,5,3,4,7,82,5,1,0,0,1,0,1,0,1,1,3,0,0,0,0,1,0,0,0,3,5,2,2,1,0,1,1,1,3,13,5,1,2,0,2,0,0,0,2,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
